wafer_id,n_eligible_dies,n_fail,fail_rate
W_F_0007,2,1,0.5
W_N_0148,1443,362,0.25086625086625086
W_F_0039,988,174,0.17611336032388664
W_F_0029,1014,167,0.16469428007889547
W_F_0049,1417,225,0.1587861679604799
W_N_0083,1412,185,0.13101983002832862
W_F_0011,429,50,0.11655011655011654
W_N_0146,451,52,0.11529933481152993
W_N_0037,457,47,0.10284463894967177
W_N_0129,742,76,0.10242587601078167
W_F_0026,1886,191,0.10127253446447508
W_N_0074,982,99,0.10081466395112017
W_N_0136,964,95,0.09854771784232365
W_N_0081,1379,128,0.09282088469905729
W_N_0098,1092,99,0.09065934065934066
W_N_0053,440,37,0.08409090909090909
W_F_0000,4999,420,0.08401680336067213
W_N_0106,511,42,0.0821917808219178
W_N_0032,699,56,0.08011444921316166
W_F_0045,3316,264,0.07961399276236429
W_F_0015,1421,110,0.07741027445460943
W_N_0133,1684,129,0.07660332541567696
W_N_0107,1385,106,0.07653429602888087
W_N_0048,398,30,0.07537688442211055
W_N_0056,1104,79,0.07155797101449275
W_F_0024,677,48,0.07090103397341212
W_N_0061,737,51,0.06919945725915876
W_N_0063,387,26,0.06718346253229975
W_N_0118,653,43,0.06584992343032159
W_F_0025,814,53,0.06511056511056511
W_N_0093,667,43,0.06446776611694154
W_N_0097,689,44,0.06386066763425254
W_F_0037,377,24,0.0636604774535809
W_F_0043,1167,74,0.06341045415595545
W_F_0013,868,54,0.06221198156682028
W_N_0101,427,26,0.06088992974238876
W_N_0039,1197,72,0.06015037593984962
W_N_0031,468,28,0.05982905982905983
W_N_0092,954,57,0.059748427672955975
W_N_0082,1388,79,0.0569164265129683
W_N_0043,393,22,0.05597964376590331
W_F_0001,1378,76,0.055152394775036286
W_N_0110,901,49,0.05438401775804662
W_N_0069,815,42,0.051533742331288344
W_N_0030,1185,61,0.05147679324894515
W_N_0094,889,45,0.05061867266591676
W_F_0004,427,21,0.04918032786885246
W_N_0054,1383,68,0.049168474331164135
W_N_0000,725,35,0.04827586206896552
W_N_0028,1026,49,0.04775828460038986
W_F_0038,1886,90,0.04772004241781548
W_N_0088,1018,48,0.047151277013752456
W_N_0086,1020,48,0.047058823529411764
W_N_0021,681,32,0.04698972099853157
W_N_0134,427,20,0.0468384074941452
W_F_0028,752,35,0.04654255319148936
W_N_0042,1340,61,0.04552238805970149
W_F_0008,2424,109,0.04496699669966997
W_N_0130,658,29,0.044072948328267476
W_N_0058,688,30,0.0436046511627907
W_N_0139,656,28,0.042682926829268296
W_N_0114,5200,221,0.0425
W_N_0036,389,16,0.04113110539845758
W_N_0057,1433,58,0.040474528960223306
W_N_0100,1378,55,0.03991291727140784
W_N_0045,1377,53,0.03848946986201888
W_N_0017,1406,54,0.03840682788051209
W_N_0064,1435,54,0.037630662020905925
W_N_0062,628,23,0.03662420382165605
W_F_0006,1326,47,0.03544494720965309
W_N_0011,400,14,0.035
W_F_0044,406,14,0.034482758620689655
W_N_0120,1353,45,0.03325942350332594
W_F_0031,497,16,0.03219315895372234
W_F_0022,1079,34,0.03151065801668211
W_N_0119,446,14,0.03139013452914798
W_N_0121,448,13,0.029017857142857144
W_N_0050,1155,33,0.02857142857142857
W_N_0041,671,19,0.028315946348733235
W_F_0035,425,12,0.02823529411764706
W_N_0078,827,22,0.026602176541717048
W_N_0084,461,12,0.026030368763557483
W_N_0132,688,17,0.024709302325581394
W_F_0021,609,15,0.024630541871921183
W_N_0090,450,11,0.024444444444444446
W_N_0095,1119,27,0.024128686327077747
W_N_0089,1129,27,0.023914968999114262
W_N_0004,513,12,0.023391812865497075
W_N_0044,1014,23,0.022682445759368838
W_N_0047,454,10,0.022026431718061675
W_F_0005,501,11,0.021956087824351298
W_N_0001,740,16,0.021621621621621623
W_F_0033,1860,40,0.021505376344086023
W_F_0032,747,16,0.0214190093708166
W_N_0005,1281,26,0.02029664324746292
W_N_0065,695,14,0.02014388489208633
W_N_0026,1049,20,0.019065776930409915
W_N_0105,1383,25,0.018076644974692697
W_N_0109,558,10,0.017921146953405017
W_N_0040,1364,22,0.016129032258064516
W_N_0055,1083,17,0.01569713758079409
W_N_0135,1277,20,0.015661707126076743
W_N_0143,449,7,0.015590200445434299
W_N_0070,661,10,0.015128593040847202
W_N_0147,1397,20,0.014316392269148175
W_N_0059,1003,14,0.013958125623130608
W_F_0023,646,9,0.01393188854489164
W_N_0124,1034,14,0.013539651837524178
W_N_0087,974,13,0.013347022587268994
W_N_0138,1278,17,0.013302034428794992
W_N_0029,457,6,0.01312910284463895
W_N_0052,1189,15,0.012615643397813289
W_N_0035,1039,13,0.012512030798845043
W_N_0071,401,5,0.012468827930174564
W_N_0046,686,8,0.011661807580174927
W_N_0022,537,6,0.0111731843575419
W_N_0137,456,5,0.010964912280701754
W_N_0123,831,9,0.010830324909747292
W_N_0079,561,6,0.0106951871657754
W_N_0091,1146,11,0.009598603839441536
W_N_0131,979,9,0.009193054136874362
W_N_0020,696,6,0.008620689655172414
W_N_0067,1173,10,0.008525149190110827
W_F_0034,940,8,0.00851063829787234
W_F_0042,827,7,0.008464328899637243
W_F_0040,473,4,0.008456659619450317
W_F_0046,976,8,0.00819672131147541
W_N_0149,1347,11,0.008166295471417966
W_N_0009,527,4,0.007590132827324478
W_F_0041,2664,20,0.0075075075075075074
W_N_0080,667,5,0.0074962518740629685
W_N_0104,442,3,0.006787330316742082
W_N_0140,444,3,0.006756756756756757
W_N_0049,1216,8,0.006578947368421052
W_N_0014,457,3,0.006564551422319475
W_N_0103,1099,7,0.006369426751592357
W_N_0072,1274,8,0.006279434850863423
W_N_0003,638,4,0.006269592476489028
W_N_0116,674,4,0.005934718100890208
W_N_0117,1146,6,0.005235602094240838
W_F_0018,981,5,0.0050968399592252805
W_F_0012,814,4,0.004914004914004914
W_N_0085,425,2,0.004705882352941176
W_N_0113,1155,5,0.004329004329004329
W_N_0008,732,3,0.004098360655737705
W_N_0013,1003,4,0.003988035892323031
W_F_0048,1516,5,0.0032981530343007917
W_N_0141,1119,3,0.002680965147453083
W_N_0075,404,1,0.0024752475247524753
W_N_0051,444,1,0.0022522522522522522
W_N_0115,447,1,0.0022371364653243847
W_F_0002,1862,4,0.0021482277121374865
W_N_0060,1257,2,0.0015910898965791568
W_N_0102,701,1,0.0014265335235378032
W_F_0017,310,0,0.0
W_F_0020,523,0,0.0
W_N_0007,1440,0,0.0
W_N_0027,559,0,0.0
W_N_0033,459,0,0.0
W_N_0034,471,0,0.0
