threshold,is_frozen_threshold,fail_precision,fail_recall,fail_f1,pass_precision,pass_recall,pass_f1,overall_accuracy,predicted_fail_count,predicted_pass_count
0.1,False,0.32226886654300496,0.506366007056297,0.39386708030068013,0.9776207630360099,0.9529413359725593,0.9651233042236502,0.9340418211208995,10243,143794
0.11,False,0.3538666075781077,0.4899524466942783,0.410935992280476,0.9770707049810015,0.9604658414566358,0.9686971206273567,0.9405532437011886,9026,145011
0.12,False,0.38849280800500313,0.4764534437797208,0.4280005511919526,0.9766300105449117,0.9668582817012161,0.9717195803242948,0.9461038581639476,7995,146042
0.13,False,0.42077489237605886,0.4647952139898757,0.44169096209912534,0.9762387970252526,0.9717254843476728,0.9739769121533934,0.9502716879710719,7201,146836
0.14,False,0.4533374064457003,0.45528455284552843,0.45430889331088314,0.9759237914434877,0.9757385539391803,0.97583116390064,0.9537124197433084,6547,147490
0.15,False,0.48579545454545453,0.44592728946157384,0.4650083979844837,0.9756033312394886,0.9791415284914383,0.9773692276982519,0.9565753682556788,5984,148053
0.16,False,0.5178863264935537,0.43749041263997546,0.47430567104606686,0.9753113849054064,0.9820021963421413,0.9786453548073286,0.9589579127092841,5507,148530
0.17,False,0.5494613124387855,0.4302807179015186,0.48262216104611144,0.9750624446055918,0.9844086823302919,0.9797132737392477,0.9609574323052253,5105,148932
0.18,False,0.5783056548244692,0.4219972388403129,0.4879389854558353,0.9747588424437299,0.9864016594585068,0.9805456910086996,0.9625154995228419,4757,149280
0.19,False,0.6082959641255605,0.4161681239453904,0.49421623098642853,0.974554911517145,0.9881573774047913,0.9813090089028761,0.9639502197523971,4460,149577
0.2,False,0.6349620493358634,0.41064580457125327,0.49874243129948764,0.974356064904119,0.9895673748288345,0.981902811269292,0.965066834591689,4216,149821
0.21,False,0.6645744413758473,0.4060438717594723,0.5040944581984385,0.9741959561224626,0.9909434780840304,0.9824983533396959,0.966189941377721,3983,150054
0.22,False,0.6870569703334208,0.40144193894769137,0.5067776917118513,0.9740261469233432,0.9919196301468295,0.9828914578197524,0.9669300233060888,3809,150228
0.23,False,0.7124345188861317,0.39637981285473234,0.5093632958801497,0.9738381756532145,0.9929296763784758,0.983291265003625,0.9676830891279368,3627,150410
0.24,False,0.7350746268656716,0.39285166436570024,0.5120463860841747,0.9737102548604146,0.9937431364308085,0.9836247068651429,0.9683128079617235,3484,150553
0.25,False,0.7545994065281899,0.3900905046786317,0.5143088279906968,0.9736106778524827,0.9943939044726745,0.9838925499270588,0.9688191798074488,3370,150667
0.26,False,0.7802843016069221,0.38732934499156313,0.5176832393644285,0.9735147644909516,0.9951802491899293,0.9842282925324903,0.9694553905879756,3236,150801
0.27,False,0.8016634676903391,0.38441478754410185,0.5196474857439087,0.9734081677279987,0.9957971230629482,0.9844753693508338,0.9699228107532606,3126,150911
0.28,False,0.820580474934037,0.3816536278570333,0.5209925662234322,0.9733055196847786,0.9963123144294256,0.9846745476897927,0.9702993436641846,3032,151005
0.29,False,0.8407470288624788,0.3798128547323209,0.5232459847844463,0.973241468773992,0.9968207269621334,0.9848899902883359,0.9707083363088089,2945,151092
0.3,False,0.8527480124438299,0.3784322748887866,0.5242243943901402,0.9731911289895728,0.9971122168142192,0.9850064621545425,0.9709290624979713,2893,151144
0.31,False,0.8671131476912232,0.37735849056603776,0.5258657545959813,0.9731547619047619,0.9974443796689217,0.9851498737940131,0.9712017242610541,2837,151200
0.32,False,0.8774632748118953,0.37567111520171803,0.5261009667024704,0.9730901974267088,0.9976816388508521,0.9852324911970651,0.9713575309828159,2791,151246
0.33,False,0.8884433102442582,0.37383034207700566,0.5262362340747139,0.9730194191441829,0.9979256768665519,0.9853151814518828,0.9715133377045775,2743,151294
0.34,False,0.8972273567467652,0.3722963644730787,0.5262359063313097,0.9729601141860281,0.9981154842120962,0.9853772795716915,0.9716301927458987,2705,151332
0.35,False,0.9079639368895567,0.3707623868691517,0.5265221653414661,0.9729017341040462,0.9983391857264876,0.9854563338719876,0.9717795075209203,2662,151375
0.36,False,0.9156534954407295,0.36968860254640284,0.5267183914326303,0.9728608698523827,0.9984950989031847,0.9855113189684301,0.9718833786687614,2632,151405
0.37,False,0.9217491369390104,0.36861481822365394,0.5266272189349113,0.9728191243478835,0.9986171179110346,0.9855493263042403,0.9719547900829022,2607,151430
0.38,False,0.925754060324826,0.36723423838011965,0.5258649093904447,0.9727634680523733,0.9986984639162678,0.9855603758249184,0.9719742659231224,2586,151451
0.39,False,0.9331247555729371,0.36600705629697805,0.5257822829440282,0.972715870081859,0.998840819425426,0.985605254884648,0.9720586612307432,2557,151480
0.4,False,0.9403633491311216,0.3652400674950146,0.526129709424373,0.9726873700537936,0.9989763961008148,0.9856566217314386,0.9721560404318443,2532,151505
0.41,False,0.9465922678357912,0.3643196809326584,0.526140894993354,0.9726519191172589,0.9990916362748953,0.9856945085371482,0.972227451845985,2509,151528
0.42,True,0.9515030060120241,0.3641662831722657,0.5267361881517639,0.9726478468015468,0.999179761113898,0.9857353039523841,0.9723053552068659,2495,151542
0.43,False,0.954856912535268,0.3633992943703022,0.5264444444444444,0.9726173823537174,0.9992407706178229,0.9857493463156275,0.9723313229938262,2481,151556
0.44,False,0.9578264395782644,0.3623255100475533,0.5257651641624931,0.9725739092570479,0.9992950012879784,0.9857534045050137,0.9723378149405663,2466,151571
0.45,False,0.9620563035495716,0.3617119190059825,0.525752508361204,0.9725502355098756,0.9993695684594422,0.9857775221996362,0.9723832585677467,2451,151586
0.46,False,0.9655030800821355,0.36063813468323364,0.5251284342193433,0.9725069590110949,0.9994305779633672,0.9857849692431131,0.9723962424612268,2435,151602
0.47,False,0.9694719471947195,0.36048473692284094,0.525550710052555,0.9725023579772183,0.9994983663010616,0.9858155791275394,0.9724546699818875,2424,151613
0.48,False,0.9718543046357616,0.36017794140205556,0.5255735870173476,0.9724906180542273,0.9995390393036782,0.9858293301776097,0.9724806377688477,2416,151621
0.49,False,0.9734549979261717,0.3600245436416628,0.5256438969764837,0.9724849300251935,0.999566154638756,0.9858395956462439,0.972500113609068,2411,151626
0.5,False,0.9770354906054279,0.35895075931891396,0.5250168274624187,0.972441671832342,0.9996271641426809,0.9858470383741142,0.9725130975025481,2395,151642
0.51,False,0.979874213836478,0.3584905660377358,0.5249326145552561,0.9724237069079208,0.9996746159790669,0.985860881772905,0.9725390652895084,2385,151652
0.52,False,0.9810924369747899,0.35818377051695044,0.5247780649511181,0.9724114284207125,0.9996949524803753,0.9858644605999833,0.9725455572362485,2380,151657
0.53,False,0.9839594765723935,0.35757017947537967,0.5245274527452746,0.9723870559379698,0.9997424043167613,0.9858750075204054,0.9725650330764687,2369,151668
0.54,False,0.9860287891617273,0.3572633839545943,0.5244904853057087,0.9723751442228449,0.9997762984856086,0.9858853649650894,0.9725845089166888,2362,151675
0.55,False,0.9872773536895675,0.3571099861942016,0.5245015207840487,0.9723692798607586,0.9997966349869168,0.9858922382243138,0.9725974928101689,2358,151679
0.56,False,0.988931460195828,0.35634299739223807,0.5239061795218765,0.9723379568588154,0.9998237503219946,0.9858893204013288,0.9725910008634289,2349,151688
0.57,False,0.9901877133105802,0.3560362018714527,0.5237504231072999,0.9723256841119894,0.999844086823303,0.9858928983225884,0.9725974928101689,2344,151693
0.58,False,0.9905982905982906,0.3555760085902746,0.5233096286262557,0.9723066375735842,0.9998508656570724,0.9858864027538726,0.9725845089166888,2340,151697
0.59,False,0.9910179640718563,0.35542261082988186,0.5232019871288247,0.9723004106816788,0.9998576444908418,0.9858864970907402,0.9725845089166888,2338,151699
