wafer_id,n_eligible,n_true_fail,n_true_pass,tp,fn,fp,tn,fn_rate,fp_rate,fn_rate_reliable,fp_rate_reliable
W_N_0025,704,5,699,0,5,0,699,1.0,0.0,True,True
W_N_0038,443,5,438,0,5,2,436,1.0,0.0045662100456621,True,True
W_N_0068,454,7,447,1,6,0,447,0.8571428571428571,0.0,True,True
W_N_0142,439,13,426,2,11,0,426,0.8461538461538461,0.0,True,True
W_N_0128,458,18,440,4,14,0,440,0.7777777777777778,0.0,True,True
W_N_0127,552,4,548,1,3,0,548,0.75,0.0,False,True
W_F_0014,1036,61,975,17,44,0,975,0.7213114754098361,0.0,True,True
W_N_0126,1188,19,1169,6,13,0,1169,0.6842105263157895,0.0,True,True
W_N_0002,960,85,875,27,58,0,875,0.6823529411764706,0.0,True,True
W_F_0030,349,12,337,4,8,1,336,0.6666666666666666,0.002967359050445104,True,True
W_N_0108,438,15,423,5,10,0,423,0.6666666666666666,0.0,True,True
W_N_0145,737,3,734,1,2,1,733,0.6666666666666666,0.0013623978201634877,False,True
W_F_0027,1527,44,1483,15,29,1,1482,0.6590909090909091,0.0006743088334457181,True,True
W_N_0012,882,29,853,10,19,1,852,0.6551724137931034,0.0011723329425556857,True,True
W_F_0003,595,43,552,15,28,0,552,0.6511627906976745,0.0,True,True
W_N_0024,982,100,882,35,65,0,882,0.65,0.0,True,True
W_N_0112,671,37,634,13,24,1,633,0.6486486486486487,0.0015772870662460567,True,True
W_N_0099,1375,34,1341,12,22,1,1340,0.6470588235294118,0.0007457121551081282,True,True
W_F_0010,1725,154,1571,56,98,4,1567,0.6363636363636364,0.002546148949713558,True,True
W_N_0066,1031,102,929,38,64,0,929,0.6274509803921569,0.0,True,True
W_N_0073,450,32,418,12,20,1,417,0.625,0.0023923444976076554,True,True
W_N_0015,1424,219,1205,84,135,0,1205,0.6164383561643836,0.0,True,True
W_F_0047,680,43,637,17,26,1,636,0.6046511627906976,0.0015698587127158557,True,True
W_N_0096,684,25,659,10,15,0,659,0.6,0.0,True,True
W_F_0009,1863,49,1814,20,29,1,1813,0.5918367346938775,0.0005512679162072767,True,True
W_N_0016,1270,23,1247,10,13,1,1246,0.5652173913043478,0.0008019246190858059,True,True
W_F_0016,817,41,776,18,23,0,776,0.5609756097560976,0.0,True,True
W_N_0144,822,9,813,4,5,1,812,0.5555555555555556,0.0012300123001230013,True,True
W_N_0122,672,38,634,17,21,0,634,0.5526315789473685,0.0,True,True
W_N_0019,1369,20,1349,9,11,1,1348,0.55,0.0007412898443291327,True,True
W_N_0125,510,11,499,5,6,1,498,0.5454545454545454,0.002004008016032064,True,True
W_N_0111,416,13,403,6,7,0,403,0.5384615384615384,0.0,True,True
W_N_0010,442,15,427,7,8,1,426,0.5333333333333333,0.00234192037470726,True,True
W_F_0019,1044,14,1030,7,7,2,1028,0.5,0.001941747572815534,True,True
W_F_0036,877,2,875,1,1,0,875,0.5,0.0,False,True
W_N_0006,393,17,376,9,8,0,376,0.47058823529411764,0.0,True,True
W_N_0023,422,7,415,4,3,0,415,0.42857142857142855,0.0,True,True
W_N_0076,463,7,456,4,3,0,456,0.42857142857142855,0.0,True,True
W_N_0077,972,5,967,3,2,1,966,0.4,0.001034126163391934,True,True
W_N_0018,462,0,462,0,0,1,461,,0.0021645021645021645,False,True
