rank,feature,coefficient,absolute_coefficient,direction
1,feature_460,0.11168894659337884,0.11168894659337884,positive
2,feature_85,0.10971352115435244,0.10971352115435244,positive
3,feature_8,0.10954316210969939,0.10954316210969939,positive
4,feature_171,0.10885098560925797,0.10885098560925797,positive
5,feature_231,-0.10171616361215231,0.10171616361215231,negative
6,feature_336,0.1015135092765415,0.1015135092765415,positive
7,feature_109,-0.09996140049382188,0.09996140049382188,negative
8,feature_204,-0.09867622169738927,0.09867622169738927,negative
9,die_col,0.0972779048844418,0.0972779048844418,positive
10,feature_282,-0.09666077588088452,0.09666077588088452,negative
11,feature_33,-0.09465805679431906,0.09465805679431906,negative
12,feature_58,0.09461814785478101,0.09461814785478101,positive
13,feature_209,-0.0939141739864983,0.0939141739864983,negative
14,feature_272,-0.09378898382183665,0.09378898382183665,negative
15,feature_236,0.09362009215384672,0.09362009215384672,positive
16,feature_379,0.09332123725927816,0.09332123725927816,positive
17,feature_243,0.09318677839127004,0.09318677839127004,positive
18,feature_246,0.09268908106882752,0.09268908106882752,positive
19,feature_309,-0.0926611442741528,0.0926611442741528,negative
20,feature_480,0.09247069612604475,0.09247069612604475,positive
21,feature_262,-0.09176636591164926,0.09176636591164926,negative
22,feature_250,-0.09045947914992128,0.09045947914992128,negative
23,feature_457,0.09006601423488189,0.09006601423488189,positive
24,feature_169,-0.08924932873825706,0.08924932873825706,negative
25,feature_277,-0.089003948464948,0.089003948464948,negative
26,feature_60,0.08865763517216925,0.08865763517216925,positive
27,feature_168,0.08857072254463055,0.08857072254463055,positive
28,feature_46,0.08786045683840128,0.08786045683840128,positive
29,feature_178,0.08748126197040433,0.08748126197040433,positive
30,feature_207,-0.08742473179699384,0.08742473179699384,negative
31,feature_284,0.08728739341041855,0.08728739341041855,positive
32,feature_48,0.08710036786686311,0.08710036786686311,positive
33,feature_285,0.08707766910688998,0.08707766910688998,positive
34,feature_77,0.08656643252626392,0.08656643252626392,positive
35,feature_174,-0.08638351352869676,0.08638351352869676,negative
36,feature_235,-0.08593284432381257,0.08593284432381257,negative
37,feature_173,0.0855348277973572,0.0855348277973572,positive
38,feature_263,-0.08510219908715792,0.08510219908715792,negative
39,feature_348,-0.08484180290645721,0.08484180290645721,negative
40,feature_387,0.08477842878609432,0.08477842878609432,positive
41,feature_349,-0.08450775278893297,0.08450775278893297,negative
42,feature_242,0.08447324331722214,0.08447324331722214,positive
43,feature_163,-0.0843454218173075,0.0843454218173075,negative
44,feature_190,0.08395884962600875,0.08395884962600875,positive
45,feature_225,0.0839189501999075,0.0839189501999075,positive
46,feature_426,-0.08352015414125266,0.08352015414125266,negative
